"","MovieID","Title","Genres","Year","average_rating","total_ratings","genre"
"91",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Action"
"148",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Action"
"93",608,"Hellraiser: Bloodline (1996)","Action|Horror|Sci-Fi",1996,0.416059602649007,2513,"Action"
"147",1197,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,0.383774834437086,2318,"Action"
"134",1097,"Palookaville (1996)","Action|Drama",1996,0.375662251655629,2269,"Action"
"82",541,"Striking Distance (1993)","Action",1993,0.298013245033113,1800,"Action"
"146",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Action"
"154",1221,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984,0.280132450331126,1692,"Action"
"129",1036,"Ghost and the Darkness, The (1996)","Action|Adventure",1996,0.275827814569536,1666,"Action"
"50",377,"True Lies (1994)","Action|Adventure|Comedy|Romance",1994,0.27317880794702,1650,"Action"
"46",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Adventure"
"94",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Adventure"
"97",1240,"Stand by Me (1986)","Adventure|Comedy|Drama",1986,0.347350993377483,2098,"Adventure"
"931",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Adventure"
"821",1036,"Ghost and the Darkness, The (1996)","Action|Adventure",1996,0.275827814569536,1666,"Adventure"
"31",377,"True Lies (1994)","Action|Adventure|Comedy|Romance",1994,0.27317880794702,1650,"Adventure"
"501",648,"Dragonheart (1996)","Action|Adventure|Fantasy",1996,0.252814569536424,1527,"Adventure"
"122",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Adventure"
"67",908,"Wizard of Oz, The (1939)","Adventure|Children's|Drama|Musical",1939,0.217715231788079,1315,"Adventure"
"112",1356,"Star Trek IV: The Voyage Home (1986)","Action|Adventure|Sci-Fi",1986,0.216887417218543,1310,"Adventure"
"57",2028,"Sleeping Beauty (1959)","Animation|Children's|Musical",1959,0.439238410596026,2653,"Animation"
"12",593,"Pinocchio (1940)","Animation|Children's",1940,0.42682119205298,2578,"Animation"
"1",1,"Toy Story (1995)","Animation|Children's|Comedy",1995,0.34387417218543,2077,"Animation"
"34",1136,"Faust (1994)","Animation|Comedy|Thriller",1994,0.264735099337748,1599,"Animation"
"11",592,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991,0.236920529801324,1431,"Animation"
"41",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Animation"
"36",1206,"Grand Day Out, A (1992)","Animation|Comedy",1992,0.203476821192053,1229,"Animation"
"502",2012,"Lady and the Tramp (1955)","Animation|Children's|Comedy|Musical|Romance",1955,0.190066225165563,1148,"Animation"
"21",736,"Close Shave, A (1995)","Animation|Comedy|Thriller",1995,0.183774834437086,1110,"Animation"
"92",3361,"Creature Comforts (1990)","Animation|Comedy",1990,0.181291390728477,1095,"Animation"
"23",260,"Little Princess, A (1995)","Children's|Drama",1995,0.495198675496689,2991,"Children's"
"180",2028,"Sleeping Beauty (1959)","Animation|Children's|Musical",1959,0.439238410596026,2653,"Children's"
"47",593,"Pinocchio (1940)","Animation|Children's",1940,0.42682119205298,2578,"Children's"
"13",1,"Toy Story (1995)","Animation|Children's|Comedy",1995,0.34387417218543,2077,"Children's"
"5",34,"Babe (1995)","Children's|Comedy|Drama",1995,0.289900662251656,1751,"Children's"
"144",1968,"Blank Check (1994)","Children's|Comedy",1994,0.254801324503311,1539,"Children's"
"461",592,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991,0.236920529801324,1431,"Children's"
"110",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Children's"
"250",3751,"Thomas and the Magic Railroad (2000)","Children's",2000,0.220033112582781,1329,"Children's"
"671",908,"Wizard of Oz, The (1939)","Adventure|Children's|Drama|Musical",1939,0.217715231788079,1315,"Children's"
"888",2858,"Hairspray (1988)","Comedy|Drama",1988,0.567549668874172,3428,"Comedy"
"479",1580,"Kicked in the Head (1997)","Comedy|Drama",1997,0.420198675496689,2538,"Comedy"
"364",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Comedy"
"806",2628,"Dinner Game, The (Le D̨ner de cons) (1998)","Comedy",1998,0.372516556291391,2250,"Comedy"
"274",858,"Death in Brunswick (1991)","Comedy",1991,0.368046357615894,2223,"Comedy"
"111",356,"I Like It Like That (1994)","Comedy|Drama|Romance",1994,0.363245033112583,2194,"Comedy"
"89",296,"Pushing Hands (1992)","Comedy",1992,0.359437086092715,2171,"Comedy"
"379",1240,"Stand by Me (1986)","Adventure|Comedy|Drama",1986,0.347350993377483,2098,"Comedy"
"14",1,"Toy Story (1995)","Animation|Children's|Comedy",1995,0.34387417218543,2077,"Comedy"
"1471",457,"Getting Even with Dad (1994)","Comedy",1994,0.330298013245033,1995,"Comedy"
"62",1196,"GoodFellas (1990)","Crime|Drama",1990,0.495033112582781,2990,"Crime"
"64",1210,"Once Upon a Time in America (1984)","Crime|Drama|Thriller",1984,0.477317880794702,2883,"Crime"
"33",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Crime"
"932",1617,"Gang Related (1997)","Crime",1997,0.378807947019868,2288,"Crime"
"51",50,"Usual Suspects, The (1995)","Crime|Thriller",1995,0.295198675496689,1783,"Crime"
"163",2918,"Robocop 2 (1990)","Action|Crime|Sci-Fi",1990,0.24387417218543,1473,"Crime"
"73",1393,"Thieves (Voleurs, Les) (1996)","Crime|Drama|Romance",1996,0.224006622516556,1353,"Crime"
"8",111,"Rumble in the Bronx (1995)","Action|Adventure|Crime",1995,0.205298013245033,1240,"Crime"
"96",1641,"Red Corner (1997)","Crime|Thriller",1997,0.198509933774834,1199,"Crime"
"139",2321,"Psycho (1998)","Crime|Horror|Thriller",1998,0.191721854304636,1158,"Crime"
"503",1270,"Koyaanisqatsi (1983)","Documentary|War",1983,0.427649006622517,2583,"Documentary"
"95",2916,"On Any Sunday (1971)","Documentary",1971,0.33046357615894,1996,"Documentary"
"911",2791,"Stop Making Sense (1984)","Documentary",1984,0.28658940397351,1731,"Documentary"
"511",1291,"Hype! (1996)","Documentary",1996,0.26953642384106,1628,"Documentary"
"102",3114,"Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999)","Documentary",1999,0.262417218543046,1585,"Documentary"
"114",3471,"Filth and the Fury, The (2000)","Documentary",2000,0.24023178807947,1451,"Documentary"
"28",750,"Maya Lin: A Strong Clear Vision (1994)","Documentary",1994,0.226324503311258,1367,"Documentary"
"17",440,"Endless Summer 2, The (1994)","Documentary",1994,0.156953642384106,948,"Documentary"
"80",2470,"Dancemaker (1998)","Documentary",1998,0.150993377483444,912,"Documentary"
"107",3210,"Gendernauts (1999)","Documentary",1999,0.146688741721854,886,"Documentary"
"1173",2858,"Hairspray (1988)","Comedy|Drama",1988,0.567549668874172,3428,"Drama"
"123",260,"Little Princess, A (1995)","Children's|Drama",1995,0.495198675496689,2991,"Drama"
"536",1196,"GoodFellas (1990)","Crime|Drama",1990,0.495033112582781,2990,"Drama"
"542",1210,"Once Upon a Time in America (1984)","Crime|Drama|Thriller",1984,0.477317880794702,2883,"Drama"
"223",480,"King of the Hill (1993)","Drama",1993,0.442384105960265,2672,"Drama"
"2741",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Drama"
"1078",2571,"Mommie Dearest (1981)","Drama",1981,0.428807947019868,2590,"Drama"
"681",1580,"Kicked in the Head (1997)","Comedy|Drama",1997,0.420198675496689,2538,"Drama"
"1135",2762,"Cabaret Balkan (Bure Baruta) (1998)","Drama",1998,0.407119205298013,2459,"Drama"
"55",110,"Taxi Driver (1976)","Drama|Thriller",1976,0.404470198675497,2443,"Drama"
"113",648,"Dragonheart (1996)","Action|Adventure|Fantasy",1996,0.252814569536424,1527,"Fantasy"
"56",2804,"Excalibur (1981)","Action|Drama|Fantasy|Romance",1981,0.223841059602649,1352,"Fantasy"
"65",3421,"Hook (1991)","Adventure|Fantasy",1991,0.199834437086093,1207,"Fantasy"
"9",364,"Mask, The (1994)","Comedy|Crime|Fantasy",1994,0.185596026490066,1121,"Fantasy"
"471",2105,"Navigator: A Mediaeval Odyssey, The (1988)","Adventure|Fantasy|Sci-Fi",1988,0.160596026490066,970,"Fantasy"
"341",1953,"Dune (1984)","Fantasy|Sci-Fi",1984,0.142549668874172,861,"Fantasy"
"32",1947,"Absent Minded Professor, The (1961)","Children's|Comedy|Fantasy",1961,0.125993377483444,761,"Fantasy"
"462",2094,"NeverEnding Story II: The Next Chapter, The (1990)","Adventure|Children's|Fantasy",1990,0.121854304635762,736,"Fantasy"
"15",2,"Jumanji (1995)","Adventure|Children's|Fantasy",1995,0.116059602649007,701,"Fantasy"
"10",555,"Pagemaster, The (1994)","Action|Adventure|Animation|Children's|Fantasy",1994,0.108940397350993,658,"Fantasy"
"20",1265,"Big Sleep, The (1946)","Film-Noir|Mystery",1946,0.377152317880795,2278,"Film-Noir"
"2",318,"Suture (1993)","Film-Noir|Thriller",1993,0.368708609271523,2227,"Film-Noir"
"81",919,"Notorious (1946)","Film-Noir|Romance|Thriller",1946,0.284437086092715,1718,"Film-Noir"
"171",1233,"Chinatown (1974)","Film-Noir|Mystery|Thriller",1974,0.165728476821192,1001,"Film-Noir"
"342",2872,"Gilda (1946)","Film-Noir",1946,0.122847682119205,742,"Film-Noir"
"6",902,"Maltese Falcon, The (1941)","Film-Noir|Mystery",1941,0.111920529801324,676,"Film-Noir"
"44",3638,"Angel Heart (1987)","Film-Noir|Mystery|Thriller",1987,0.10794701986755,652,"Film-Noir"
"16",163,"Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller",1995,0.0894039735099338,540,"Film-Noir"
"19",1248,"Manchurian Candidate, The (1962)","Film-Noir|Thriller",1962,0.0850993377483444,514,"Film-Noir"
"35",2919,"Who Framed Roger Rabbit? (1988)","Adventure|Animation|Film-Noir",1988,0.0647350993377483,391,"Film-Noir"
"411",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Horror"
"25",608,"Hellraiser: Bloodline (1996)","Action|Horror|Sci-Fi",1996,0.416059602649007,2513,"Horror"
"167",2396,"Trick or Treat (1986)","Horror",1986,0.392218543046358,2369,"Horror"
"40",1197,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,0.383774834437086,2318,"Horror"
"222",2716,"Masque of the Red Death, The (1964)","Horror",1964,0.361092715231788,2181,"Horror"
"472",1259,"Young Frankenstein (1974)","Comedy|Horror",1974,0.295529801324503,1785,"Horror"
"85",1610,"Phantoms (1998)","Horror",1998,0.273509933774834,1652,"Horror"
"54",1307,"Amityville II: The Possession (1982)","Horror",1982,0.259602649006622,1568,"Horror"
"891",1704,"Prophecy II, The (1998)","Horror",1998,0.256291390728477,1548,"Horror"
"253",2959,"Slaughterhouse 2 (1988)","Horror",1988,0.24023178807947,1451,"Horror"
"731",2028,"Sleeping Beauty (1959)","Animation|Children's|Musical",1959,0.439238410596026,2653,"Musical"
"24",924,"Band Wagon, The (1953)","Comedy|Musical",1953,0.284105960264901,1716,"Musical"
"512",1394,"Evita (1996)","Drama|Musical",1996,0.237417218543046,1434,"Musical"
"121",592,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991,0.236920529801324,1431,"Musical"
"541",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Musical"
"99",3481,"Guys and Dolls (1955)","Musical",1955,0.227317880794702,1373,"Musical"
"231",908,"Wizard of Oz, The (1939)","Adventure|Children's|Drama|Musical",1939,0.217715231788079,1315,"Musical"
"43",1073,"Dirty Dancing (1987)","Musical|Romance",1987,0.217384105960265,1313,"Musical"
"66",2012,"Lady and the Tramp (1955)","Animation|Children's|Comedy|Musical|Romance",1955,0.190066225165563,1148,"Musical"
"211",903,"My Fair Lady (1964)","Musical|Romance",1964,0.149834437086093,905,"Musical"
"412",1265,"Big Sleep, The (1946)","Film-Noir|Mystery",1946,0.377152317880795,2278,"Mystery"
"37",1214,"Stalker (1979)","Mystery|Sci-Fi",1979,0.335099337748344,2024,"Mystery"
"1021",3408,"Jacob's Ladder (1990)","Horror|Mystery|Thriller",1990,0.217715231788079,1315,"Mystery"
"27",920,"Spellbound (1945)","Mystery|Romance|Thriller",1945,0.191390728476821,1156,"Mystery"
"941",3081,"Diamonds (1999)","Mystery",1999,0.176490066225166,1066,"Mystery"
"26",913,"2001: A Space Odyssey (1968)","Drama|Mystery|Sci-Fi|Thriller",1968,0.172682119205298,1043,"Mystery"
"811",2407,"52 Pick-Up (1986)","Action|Mystery|Thriller",1986,0.166556291390728,1006,"Mystery"
"38",1233,"Chinatown (1974)","Film-Noir|Mystery|Thriller",1974,0.165728476821192,1001,"Mystery"
"961",3108,"Talented Mr. Ripley, The (1999)","Drama|Mystery|Thriller",1999,0.156456953642384,945,"Mystery"
"401",1250,"Arsenic and Old Lace (1944)","Comedy|Mystery|Thriller",1944,0.155298013245033,938,"Mystery"
"63",356,"I Like It Like That (1994)","Comedy|Drama|Romance",1994,0.363245033112583,2194,"Romance"
"169",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Romance"
"138",919,"Notorious (1946)","Film-Noir|Romance|Thriller",1946,0.284437086092715,1718,"Romance"
"193",1387,"Michael (1996)","Comedy|Romance",1996,0.280960264900662,1697,"Romance"
"68",377,"True Lies (1994)","Action|Adventure|Comedy|Romance",1994,0.27317880794702,1650,"Romance"
"249",1721,"Wedding Singer, The (1998)","Comedy|Romance",1998,0.255960264900662,1546,"Romance"
"362",2706,"Better Than Chocolate (1999)","Comedy|Romance",1999,0.229966887417219,1389,"Romance"
"174",1225,"Manhattan (1979)","Comedy|Drama|Romance",1979,0.228807947019868,1382,"Romance"
"101",39,"Clueless (1995)","Comedy|Romance",1995,0.225496688741722,1362,"Romance"
"194",1393,"Thieves (Voleurs, Les) (1996)","Crime|Drama|Romance",1996,0.224006622516556,1353,"Romance"
"631",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Sci-Fi"
"331",608,"Hellraiser: Bloodline (1996)","Action|Horror|Sci-Fi",1996,0.416059602649007,2513,"Sci-Fi"
"621",1197,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,0.383774834437086,2318,"Sci-Fi"
"641",1214,"Stalker (1979)","Mystery|Sci-Fi",1979,0.335099337748344,2024,"Sci-Fi"
"61",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Sci-Fi"
"651",1221,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984,0.280132450331126,1692,"Sci-Fi"
"186",2599,"Mole People, The (1956)","Sci-Fi",1956,0.251986754966887,1522,"Sci-Fi"
"3",32,"Twelve Monkeys (1995)","Drama|Sci-Fi",1995,0.250165562913907,1511,"Sci-Fi"
"203",2918,"Robocop 2 (1990)","Action|Crime|Sci-Fi",1990,0.24387417218543,1473,"Sci-Fi"
"225",3418,"Devil Girl From Mars (1954)","Sci-Fi",1954,0.234602649006623,1417,"Sci-Fi"
"161",1210,"Once Upon a Time in America (1984)","Crime|Drama|Thriller",1984,0.477317880794702,2883,"Thriller"
"212",110,"Taxi Driver (1976)","Drama|Thriller",1976,0.404470198675497,2443,"Thriller"
"158",1197,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,0.383774834437086,2318,"Thriller"
"513",318,"Suture (1993)","Film-Noir|Thriller",1993,0.368708609271523,2227,"Thriller"
"394",2987,"Felicia's Journey (1999)","Thriller",1999,0.297847682119205,1799,"Thriller"
"83",50,"Usual Suspects, The (1995)","Crime|Thriller",1995,0.295198675496689,1783,"Thriller"
"132",919,"Notorious (1946)","Film-Noir|Romance|Thriller",1946,0.284437086092715,1718,"Thriller"
"162",1221,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984,0.280132450331126,1692,"Thriller"
"152",1136,"Faust (1994)","Animation|Comedy|Thriller",1994,0.264735099337748,1599,"Thriller"
"88",590,"Silence of the Lambs, The (1991)","Drama|Thriller",1991,0.24023178807947,1451,"Thriller"
"551",1270,"Koyaanisqatsi (1983)","Documentary|War",1983,0.427649006622517,2583,"War"
"45",1200,"Ran (1985)","Drama|War",1985,0.301324503311258,1820,"War"
"441",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"War"
"351",1079,"Crying Game, The (1992)","Drama|Romance|War",1992,0.21953642384106,1326,"War"
"39",150,"Rob Roy (1995)","Drama|Romance|War",1995,0.207119205298013,1251,"War"
"108",2985,"Messenger: The Story of Joan of Arc, The (1999)","Drama|War",1999,0.203476821192053,1229,"War"
"402",1183,"Aliens (1986)","Action|Sci-Fi|Thriller|War",1986,0.163741721854305,989,"War"
"48",1215,"Boat, The (Das Boot) (1981)","Action|Drama|War",1981,0.156456953642384,945,"War"
"90",2336,"Rambo III (1988)","Action|War",1988,0.155298013245033,938,"War"
"473",1207,"Henry V (1989)","Drama|War",1989,0.15364238410596,928,"War"
"52",380,"Wyatt Earp (1994)","Western",1994,0.231788079470199,1400,"Western"
"22",1247,"Unforgiven (1992)","Western",1992,0.208774834437086,1261,"Western"
"251",1358,"Young Guns (1988)","Action|Comedy|Western",1988,0.194867549668874,1177,"Western"
"115",587,"Dances with Wolves (1990)","Adventure|Drama|Western",1990,0.186092715231788,1124,"Western"
"442",3006,"Jeremiah Johnson (1972)","Western",1972,0.14635761589404,884,"Western"
"241",1285,"Butch Cassidy and the Sundance Kid (1969)","Action|Comedy|Western",1969,0.13294701986755,803,"Western"
"141",953,"Angel and the Badman (1947)","Western",1947,0.120695364238411,729,"Western"
"321",2333,"Pale Rider (1985)","Western",1985,0.0956953642384106,578,"Western"
"514",3300,"Big Country, The (1958)","Romance|Western",1958,0.0897350993377483,542,"Western"
"632",3614,"Magnum Force (1973)","Western",1973,0.0897350993377483,542,"Western"
